"eventname","location","fb_event_url","longitude","latitude","start_time_display"
"Fatso Jetson @ BACKSTAGE BTM AT O'SULLIVANS in Paris, France","Paris, France","https://www.facebook.com/events/1743397322574332/","2.350800037384","48.856700897217","Tue Oct 04 2016 at 11:00 am"
"Angra @ Le Trabendo in Paris, France","Paris, France","https://www.facebook.com/events/151530628596214/","2.350800037384","48.856700897217","Tue Oct 04 2016 at 12:30 pm"
"Exposition Saré ''Un air de famille'' 4-22 octobre 2016","I-GALLERY","https://www.facebook.com/events/175858259488803/","2.3371300697327","48.88565826416","Tue Oct 04 2016 at 06:00 pm"
"ANGRA, Headless, ADX // Paris - Trabendo","Le Trabendo","https://www.facebook.com/events/178519919217537/","2.3938930034637","48.892578125","Tue Oct 04 2016 at 07:00 pm"
"Mars Red Sky, Greenleaf, Fatso Jetson, Yeti Lane // Paris","Petit Bain","https://www.facebook.com/events/293556024365208/","2.3769767284393","48.835479736328","Tue Oct 04 2016 at 07:00 pm"
"Trio Loustalot / Chesnel / Paganotti","Sunset/Sunside","https://www.facebook.com/events/179131169182153/","2.3477780818939","48.859722137451","Tue Oct 04 2016 at 07:00 pm"
"Fair : party 6 - Broken Back / Stuck in the Sound / DJ Set","Café De la Danse","https://www.facebook.com/events/134019880387759/","2.3729300498962","48.854061126709","Tue Oct 04 2016 at 07:00 pm"
"Trio Loustalot Chesnel Paganotti concert sortie d'album","Sunset/Sunside","https://www.facebook.com/events/1257224030978930/","2.3477780818939","48.859722137451","Tue Oct 04 2016 at 07:30 pm"
"Concert du trio Loustalot/Chesnel/Paganotti &quot;Pièces en forme de","Sunset/Sunside","https://www.facebook.com/events/1764058240535088/","2.3477780818939","48.859722137451","Tue Oct 04 2016 at 07:30 pm"
"Corrina Repp ✭ Showcase ✭ La Fabrique Balades Sonores","Balades Sonores","https://www.facebook.com/events/213777239041629/","2.3462998867035","48.881748199463","Tue Oct 04 2016 at 07:30 pm"
"Jam To The Wild// A Tribute to India Arie by Ann-Shirley","Favela Chic - surofficial","https://www.facebook.com/events/339315603073622/","2.3663425445557","48.868175506592","Tue Oct 04 2016 at 07:30 pm"
"Broadway au Carré § Mardi 4 Octobre § &quot;Encore !&quot; - Dana Levinson","Comédie Nation","https://www.facebook.com/events/1118126038279090/","2.3914000988007","48.850440979004","Tue Oct 04 2016 at 07:30 pm"
"Deap Vally + Electric Retro Spectrum | Point Éphémère le 04.10","Point Éphémère","https://www.facebook.com/events/215684122164851/","2.3691790103912","48.881259918213","Tue Oct 04 2016 at 08:00 pm"
"Concert Cheila Simone","Cave Du 38Riv'","https://www.facebook.com/events/297247730644174/","2.3564701080322","48.856430053711","Tue Oct 04 2016 at 08:00 pm"
"Concert acoustique exceptionnel d'Henry Padovani","Luminor Hôtel de Ville","https://www.facebook.com/events/586813831520745/","2.3535850048065","48.858661651611","Tue Oct 04 2016 at 08:00 pm"
"VASLO - Concert à l'Etage","L'Etage","https://www.facebook.com/events/163188540792349/","2.3712844848633","48.870403289795","Tue Oct 04 2016 at 08:00 pm"
"Concert à L'etage","L'Etage","https://www.facebook.com/events/1077326085716372/","2.3714599609375","48.870208740234","Tue Oct 04 2016 at 08:00 pm"
"Hélios en concert // L'Etage","L'Etage","https://www.facebook.com/events/585725324945513/","2.3714599609375","48.870208740234","Tue Oct 04 2016 at 08:00 pm"
"Concert Sabine Devieilhe (Annulé)","Philharmonie de Paris","https://www.facebook.com/events/108698679542360/","2.3938407897949","48.890605926514","Tue Oct 04 2016 at 08:30 pm"
"Rhys James ▬ Stand-up comedy ▬ La Java","La Java","https://www.facebook.com/events/164195973993332/","2.3737800121307","48.871139526367","Tue Oct 04 2016 at 08:30 pm"
"Fall of Minerva last minute show / Chaos ET Sexual / Cohaagen","La Cantine De Belleville","https://www.facebook.com/events/1519203231429787/","2.378527879715","48.870639801025","Tue Oct 04 2016 at 08:30 pm"
"Duo Wong-Loriot et duo Laurain-Souchal","13, rue de l’Aqueduc - 75010 Paris","https://www.facebook.com/events/1588104464818002/","2.3591287136078","48.880298614502","Tue Oct 04 2016 at 08:30 pm"
"CHEILA SIMONE @ Cavbe du 38 riv' in Paris, France","Paris, France","https://www.facebook.com/events/1246761462043460/","2.350800037384","48.856700897217","Tue Oct 04 2016 at 08:30 pm"
"Les PolySound font leur rentrée","Le Soleil De La Butte","https://www.facebook.com/events/161391870980504/","2.3453299999237","48.88650894165","Tue Oct 04 2016 at 08:30 pm"
"Le Lou fait son boeuf, la rentrée Longo/Metairon/Congiu!","Lou Pascalou","https://www.facebook.com/events/1147056132053452/","2.3856201171875","48.866291046143","Tue Oct 04 2016 at 08:30 pm"
"Dynamite @ L'International in Paris, France","Paris, France","https://www.facebook.com/events/582322558602835/","2.350800037384","48.856700897217","Tue Oct 04 2016 at 10:00 pm"
"Silverstage @ l'international  in Paris, France","Paris, France","https://www.facebook.com/events/287910668215793/","2.350800037384","48.856700897217","Tue Oct 04 2016 at 10:30 pm"
"MARS RED SKY @ Petit Bain in Paris, France","Paris, France","https://www.facebook.com/events/1568915656768576/","2.350800037384","48.856700897217","Tue Oct 04 2016 at 11:00 pm"
"Adam Burrows @ Onze Bar in Paris, France","Paris, France","https://www.facebook.com/events/924767424275725/","2.350800037384","48.856700897217","Tue Oct 04 2016 at 11:30 pm"
"Deap Vally @ le point FMR in Paris, France","Paris, France","https://www.facebook.com/events/695158723960158/","2.350800037384","48.856700897217","Tue Oct 04 2016 at 11:30 pm"
"eventname","location","fb_event_url","longitude","latitude","start_time_display"
"Fatso Jetson @ BACKSTAGE BTM AT O'SULLIVANS in Paris, France","Paris, France","https://www.facebook.com/events/1743397322574332/","2.350800037384","48.856700897217","Tue Oct 04 2016 at 11:00 am"
"Angra @ Le Trabendo in Paris, France","Paris, France","https://www.facebook.com/events/151530628596214/","2.350800037384","48.856700897217","Tue Oct 04 2016 at 12:30 pm"
"Exposition Saré ''Un air de famille'' 4-22 octobre 2016","I-GALLERY","https://www.facebook.com/events/175858259488803/","2.3371300697327","48.88565826416","Tue Oct 04 2016 at 06:00 pm"
"ANGRA, Headless, ADX // Paris - Trabendo","Le Trabendo","https://www.facebook.com/events/178519919217537/","2.3938930034637","48.892578125","Tue Oct 04 2016 at 07:00 pm"
"Mars Red Sky, Greenleaf, Fatso Jetson, Yeti Lane // Paris","Petit Bain","https://www.facebook.com/events/293556024365208/","2.3769767284393","48.835479736328","Tue Oct 04 2016 at 07:00 pm"
"Trio Loustalot / Chesnel / Paganotti","Sunset/Sunside","https://www.facebook.com/events/179131169182153/","2.3477780818939","48.859722137451","Tue Oct 04 2016 at 07:00 pm"
"Fair : party 6 - Broken Back / Stuck in the Sound / DJ Set","Café De la Danse","https://www.facebook.com/events/134019880387759/","2.3729300498962","48.854061126709","Tue Oct 04 2016 at 07:00 pm"
"Trio Loustalot Chesnel Paganotti concert sortie d'album","Sunset/Sunside","https://www.facebook.com/events/1257224030978930/","2.3477780818939","48.859722137451","Tue Oct 04 2016 at 07:30 pm"
"Concert du trio Loustalot/Chesnel/Paganotti &quot;Pièces en forme de","Sunset/Sunside","https://www.facebook.com/events/1764058240535088/","2.3477780818939","48.859722137451","Tue Oct 04 2016 at 07:30 pm"
"Corrina Repp ✭ Showcase ✭ La Fabrique Balades Sonores","Balades Sonores","https://www.facebook.com/events/213777239041629/","2.3462998867035","48.881748199463","Tue Oct 04 2016 at 07:30 pm"
"Jam To The Wild// A Tribute to India Arie by Ann-Shirley","Favela Chic - surofficial","https://www.facebook.com/events/339315603073622/","2.3663425445557","48.868175506592","Tue Oct 04 2016 at 07:30 pm"
"Broadway au Carré § Mardi 4 Octobre § &quot;Encore !&quot; - Dana Levinson","Comédie Nation","https://www.facebook.com/events/1118126038279090/","2.3914000988007","48.850440979004","Tue Oct 04 2016 at 07:30 pm"
"Deap Vally + Electric Retro Spectrum | Point Éphémère le 04.10","Point Éphémère","https://www.facebook.com/events/215684122164851/","2.3691790103912","48.881259918213","Tue Oct 04 2016 at 08:00 pm"
"Concert Cheila Simone","Cave Du 38Riv'","https://www.facebook.com/events/297247730644174/","2.3564701080322","48.856430053711","Tue Oct 04 2016 at 08:00 pm"
"Concert acoustique exceptionnel d'Henry Padovani","Luminor Hôtel de Ville","https://www.facebook.com/events/586813831520745/","2.3535850048065","48.858661651611","Tue Oct 04 2016 at 08:00 pm"
"VASLO - Concert à l'Etage","L'Etage","https://www.facebook.com/events/163188540792349/","2.3712844848633","48.870403289795","Tue Oct 04 2016 at 08:00 pm"
"Concert à L'etage","L'Etage","https://www.facebook.com/events/1077326085716372/","2.3714599609375","48.870208740234","Tue Oct 04 2016 at 08:00 pm"
"Hélios en concert // L'Etage","L'Etage","https://www.facebook.com/events/585725324945513/","2.3714599609375","48.870208740234","Tue Oct 04 2016 at 08:00 pm"
"Concert Sabine Devieilhe (Annulé)","Philharmonie de Paris","https://www.facebook.com/events/108698679542360/","2.3938407897949","48.890605926514","Tue Oct 04 2016 at 08:30 pm"
"Rhys James ▬ Stand-up comedy ▬ La Java","La Java","https://www.facebook.com/events/164195973993332/","2.3737800121307","48.871139526367","Tue Oct 04 2016 at 08:30 pm"
"Fall of Minerva last minute show / Chaos ET Sexual / Cohaagen","La Cantine De Belleville","https://www.facebook.com/events/1519203231429787/","2.378527879715","48.870639801025","Tue Oct 04 2016 at 08:30 pm"
"Duo Wong-Loriot et duo Laurain-Souchal","13, rue de l’Aqueduc - 75010 Paris","https://www.facebook.com/events/1588104464818002/","2.3591287136078","48.880298614502","Tue Oct 04 2016 at 08:30 pm"
"CHEILA SIMONE @ Cavbe du 38 riv' in Paris, France","Paris, France","https://www.facebook.com/events/1246761462043460/","2.350800037384","48.856700897217","Tue Oct 04 2016 at 08:30 pm"
"Les PolySound font leur rentrée","Le Soleil De La Butte","https://www.facebook.com/events/161391870980504/","2.3453299999237","48.88650894165","Tue Oct 04 2016 at 08:30 pm"
"Le Lou fait son boeuf, la rentrée Longo/Metairon/Congiu!","Lou Pascalou","https://www.facebook.com/events/1147056132053452/","2.3856201171875","48.866291046143","Tue Oct 04 2016 at 08:30 pm"
"Dynamite @ L'International in Paris, France","Paris, France","https://www.facebook.com/events/582322558602835/","2.350800037384","48.856700897217","Tue Oct 04 2016 at 10:00 pm"
"Silverstage @ l'international  in Paris, France","Paris, France","https://www.facebook.com/events/287910668215793/","2.350800037384","48.856700897217","Tue Oct 04 2016 at 10:30 pm"
"MARS RED SKY @ Petit Bain in Paris, France","Paris, France","https://www.facebook.com/events/1568915656768576/","2.350800037384","48.856700897217","Tue Oct 04 2016 at 11:00 pm"
"Adam Burrows @ Onze Bar in Paris, France","Paris, France","https://www.facebook.com/events/924767424275725/","2.350800037384","48.856700897217","Tue Oct 04 2016 at 11:30 pm"
"Deap Vally @ le point FMR in Paris, France","Paris, France","https://www.facebook.com/events/695158723960158/","2.350800037384","48.856700897217","Tue Oct 04 2016 at 11:30 pm"
